"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"ASV2204" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Rhizophagus" "s__irregularis"
"ASV2205" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"ASV2206" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Funneliformis" "s__mosseae"
"ASV2208" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Clavicipitaceae" "g__Metarhizium" "s__marquandii"
"ASV2210" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Sebacinales" NA NA NA
"ASV2211" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreales_fam_Incertae_sedis" "g__Sarocladium" NA
"ASV2212" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Tremellaceae" "g__Cryptococcus" NA
"ASV2215" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" NA NA NA NA
"ASV2216" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" "g__Waitea" "s__circinata"
"ASV2217" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Kamienskia" "s__perpusilla"
"ASV2218" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" NA
"ASV2219" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" NA NA NA NA
"ASV2221" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV2223" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Auriculariales" "f__Auriculariales_fam_Incertae_sedis" "g__Oliveonia" "s__pauxilla"
"ASV2224" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" NA NA NA NA
"ASV2226" "k__Fungi" "p__Ascomycota" "c__Pezizomycetes" "o__Pezizales" "f__Pezizaceae" "g__Iodophanus" NA
"ASV2229" "k__Fungi" "p__Glomeromycota" "c__Paraglomeromycetes" "o__Paraglomerales" "f__Paraglomeraceae" "g__Paraglomus" "s__brasilianum"
"ASV2230" "k__Fungi" "p__Chytridiomycota" "c__Spizellomycetes" "o__Spizellomycetales" "f__Spizellomycetaceae" "g__Spizellomyces" "s__lactosolyticus"
"ASV2233" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pleosporaceae" "g__Drechslera" NA
"ASV2235" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Glomerellales" "f__Plectosphaerellaceae" "g__Verticillium" NA
"ASV2239" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" "g__Trichopeziza" "s__mollissima"
"ASV2243" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pleosporaceae" "g__Sporidesmiella" NA
"ASV2244" "k__Fungi" "p__Chytridiomycota" NA NA NA NA NA
"ASV2245" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__macrocarpum"
"ASV2247" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" NA NA
"ASV2248" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__compressum"
"ASV2249" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"ASV2252" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" NA NA
"ASV2254" "k__Fungi" "p__Mucoromycota" "c__Mucoromycetes" "o__Mucorales" "f__Cunninghamellaceae" "g__Gongronella" "s__butleri"
"ASV2257" "k__Fungi" "p__Chytridiomycota" "c__Lobulomycetes" "o__Lobulomycetales" NA NA NA
"ASV2262" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" NA NA NA
"ASV2263" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Rhytismatales" "f__Rhytismatales_fam_Incertae_sedis" "g__Karstenia" "s__macer"
"ASV2266" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" "g__Podospora" "s__glutinoides"
"ASV2270" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Diversisporales" "f__Diversisporaceae" NA NA
"ASV2272" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Magnaporthales" "f__Magnaporthaceae" "g__Gaeumannomyces" NA
"ASV2273" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Bionectriaceae" "g__Clonostachys" "s__phyllophila"
"ASV2274" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Rhizophagus" NA
"ASV2278" "k__Fungi" "p__Chytridiomycota" "c__Spizellomycetes" "o__Spizellomycetales" NA NA NA
"ASV2279" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV2281" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV2282" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" NA NA NA
"ASV2283" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Trichosphaeriales" "f__Trichosphaeriaceae" "g__Nigrospora" "s__bambusae"
"ASV2288" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Stephanosporaceae" NA NA
"ASV2290" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" NA
"ASV2293" "k__Fungi" "p__Kickxellomycota" "c__GS19" "o__GS19" NA NA NA
"ASV2295" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusarium" "s__algeriense"
"ASV2296" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" NA
"ASV2297" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Clavicipitaceae" "g__Metarhizium" "s__rileyi"
"ASV2298" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Morosphaeriaceae" "g__Acrocalymma" NA
"ASV2301" "k__Fungi" "p__Ascomycota" "c__Pezizomycetes" "o__Pezizales" "f__Pezizales_fam_Incertae_sedis" "g__Trichobolus" "s__zukalii"
"ASV2302" "k__Fungi" "p__Ascomycota" "c__Orbiliomycetes" "o__Orbiliales" "f__Orbiliaceae" "g__Dactylaria" "s__mitrata"
"ASV2303" "k__Fungi" "p__Mucoromycota" "c__Endogonomycetes" "o__Endogonales" "f__Endogonaceae" "g__Endogone" NA
"ASV2311" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreaceae" "g__Monocillium" "s__griseo-ochraceum"
"ASV2312" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" NA
"ASV2314" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__macrocarpum"
"ASV2315" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Funneliformis" "s__mosseae"
"ASV2317" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pleosporaceae" "g__Alternaria" NA
"ASV2320" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Funneliformis" "s__mosseae"
"ASV2321" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Vibrisseaceae" "g__Phialocephala" "s__humicola"
"ASV2322" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Tricholomataceae" "g__Macrocystidia" "s__cucumis"
"ASV2323" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Diaporthales" "f__Schizoparmaceae" "g__Coniella" "s__fragariae"
"ASV2325" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Tricholomataceae" NA NA
"ASV2326" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" "g__Thanatephorus" "s__cucumeris"
"ASV2328" "k__Fungi" "p__Glomeromycota" "c__Archaeosporomycetes" "o__Archaeosporales" NA NA NA
"ASV2330" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Glomerellales" "f__Plectosphaerellaceae" "g__Lectera" "s__longa"
"ASV2331" "k__Fungi" "p__Glomeromycota" "c__Paraglomeromycetes" "o__Paraglomerales" "f__Paraglomeraceae" "g__Paraglomus" NA
"ASV2333" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"ASV2334" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Ilyonectria" "s__robusta"
"ASV2335" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Rhytismatales" "f__Rhytismatales_fam_Incertae_sedis" "g__Karstenia" "s__macer"
"ASV2336" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Polyporales" "f__Hyphodermataceae" "g__Hyphoderma" "s__obtusiforme"
"ASV2337" "k__Fungi" "p__Glomeromycota" "c__Archaeosporomycetes" "o__Archaeosporales" NA NA NA
"ASV2340" "k__Fungi" "p__Kickxellomycota" "c__Kickxellomycetes" "o__Kickxellales" "f__Kickxellaceae" "g__Ramicandelaber" NA
"ASV2341" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Melanommataceae" "g__Herpotrichia" "s__australis"
"ASV2342" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" "g__Podospora" "s__decidua"
"ASV2343" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" NA NA
"ASV2348" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Septoglomus" NA
"ASV2349" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__aggregatum"
"ASV2350" "k__Fungi" "p__Basidiomycota" "c__Microbotryomycetes" "o__Microbotryomycetes_ord_Incertae_sedis" "f__Chrysozymaceae" "g__Chrysozyma" "s__griseoflava"
"ASV2354" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" "g__Crocicreas" NA
"ASV2355" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__beljakovae"
"ASV2356" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Filobasidiales" "f__Filobasidiaceae" "g__Filobasidium" "s__stepposum"
"ASV2357" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Cyphellophoraceae" "g__Cyphellophora" "s__fusarioides"
"ASV2359" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" NA NA NA
"ASV2360" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" NA NA NA
"ASV2362" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Funneliformis" "s__mosseae"
"ASV2363" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV2371" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Tricholomataceae" "g__Flagelloscypha" NA
"ASV2373" "k__Fungi" "p__Ascomycota" "c__Orbiliomycetes" "o__Orbiliales" "f__Orbiliaceae" NA NA
"ASV2374" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" "g__Apodus" "s__deciduus"
"ASV2375" "k__Fungi" "p__Glomeromycota" "c__Archaeosporomycetes" "o__Archaeosporales" NA NA NA
"ASV2376" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Diversisporales" "f__Diversisporaceae" "g__Diversispora" NA
"ASV2378" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" NA NA
"ASV2381" "k__Fungi" "p__Ascomycota" "c__Pezizomycetes" "o__Pezizales" "f__Pyronemataceae" NA NA
"ASV2382" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__macrocarpum"
"ASV2383" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__macrocarpum"
"ASV2384" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" NA NA NA
"ASV2387" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Phaeosphaeria" NA
"ASV2392" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" NA NA
"ASV2395" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Phaeosphaeria" NA
"ASV2396" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Funneliformis" "s__mosseae"
"ASV2397" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Annulatascales" "f__Annulatascaceae" "g__Dictyosporella" NA
"ASV2398" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV2400" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Polyporales" "f__Ganodermataceae" "g__Ganoderma" NA
"ASV2405" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Claroideoglomeraceae" "g__Claroideoglomus" "s__claroideum"
"ASV2409" "k__Fungi" "p__Basidiomycota" "c__Microbotryomycetes" "o__Leucosporidiales" "f__Leucosporidiaceae" "g__Leucosporidium" "s__golubevii"
"ASV2410" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" NA NA NA NA
"ASV2412" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Stachybotryaceae" "g__Paramyrothecium" "s__viridisporum"
"ASV2413" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" "g__Arnium" NA
"ASV2416" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__elongata"
"ASV2418" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Amniculicolaceae" "g__Murispora" "s__cicognanii"
"ASV2419" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" NA NA NA
"ASV2421" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__macrocarpum"
"ASV2422" "k__Fungi" "p__Entomophthoromycota" "c__Entomophthoromycetes" "o__Entomophthorales" "f__Ancylistaceae" "g__Conidiobolus" "s__coronatus"
"ASV2424" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Auriculariales" "f__Exidiaceae" NA NA
"ASV2428" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Psathyrellaceae" "g__Psathyrella" "s__bipellis"
"ASV2429" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Capnodiales" "f__Neodevriesiaceae" "g__Neodevriesia" "s__poagena"
"ASV2431" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Chaetomiaceae" NA NA
"ASV2432" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"ASV2435" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" NA NA
"ASV2438" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Herpotrichiellaceae" "g__Veronaea" "s__japonica"
"ASV2439" "k__Fungi" "p__Chytridiomycota" "c__Chytridiomycetes" NA NA NA NA
"ASV2441" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV2442" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Auriculariales" "f__Auriculariales_fam_Incertae_sedis" "g__Oliveonia" "s__pauxilla"
"ASV2448" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Claroideoglomeraceae" "g__Claroideoglomus" "s__claroideum"
"ASV2450" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Microascales" "f__Halosphaeriaceae" NA NA
"ASV2451" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" NA NA
"ASV2452" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" NA NA
"ASV2453" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"ASV2454" "k__Fungi" NA NA NA NA NA NA
"ASV2456" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Onygenales" "f__Onygenales_fam_Incertae_sedis" "g__Chrysosporium" "s__pseudomerdarium"
"ASV2457" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" "g__Didymella" NA
"ASV2458" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" "g__Scytalidium" "s__aurantiacum"
"ASV2460" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" NA
"ASV2461" "k__Fungi" "p__Mucoromycota" "c__Endogonomycetes" "o__Endogonales" "f__Endogonaceae" "g__Endogone" NA
"ASV2462" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Thelebolales" "f__Thelebolaceae" "g__Thelebolus" "s__spongiae"
"ASV2463" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Microascales" "f__Halosphaeriaceae" NA NA
"ASV2465" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" NA NA
"ASV2466" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Claroideoglomeraceae" "g__Claroideoglomus" NA
"ASV2467" "k__Fungi" "p__Ascomycota" "c__Pezizomycetes" "o__Pezizales" "f__Pezizaceae" "g__Iodophanus" NA
"ASV2470" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Diversisporales" "f__Acaulosporaceae" "g__Acaulospora" "s__spinosa"
"ASV2471" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Dictyosporiaceae" "g__Dictyosporium" "s__heptasporum"
"ASV2472" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreaceae" "g__Monocillium" NA
"ASV2473" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Cystofilobasidiales" NA NA NA
"ASV2475" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV2480" "k__Fungi" "p__Ascomycota" "c__Pezizomycetes" "o__Pezizales" "f__Pezizaceae" "g__Iodophanus" NA
"ASV2483" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__compressum"
"ASV2484" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Microascales" NA NA NA
"ASV2490" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" NA
"ASV2492" "k__Fungi" "p__Chytridiomycota" "c__Rhizophydiomycetes" "o__Rhizophydiales" "f__Rhizophydiales_fam_Incertae_sedis" "g__Operculomyces" "s__laminatus"
"ASV2494" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" "g__Crocicreas" NA
"ASV2495" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Diversisporales" "f__Diversisporaceae" NA NA
"ASV2497" "k__Fungi" "p__Basidiobolomycota" "c__Basidiobolomycetes" "o__Basidiobolales" "f__Basidiobolaceae" "g__Basidiobolus" "s__magnus"
"ASV2500" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Cucurbitariaceae" "g__Pyrenochaeta" NA
"ASV2501" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"ASV2505" "k__Fungi" "p__Ascomycota" "c__Orbiliomycetes" "o__Orbiliales" "f__Orbiliaceae" "g__Arthrobotrys" "s__conoides"
"ASV2506" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__minutissima"
"ASV2507" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__alpina"
"ASV2512" "k__Fungi" "p__Chytridiomycota" "c__Rhizophydiomycetes" "o__Rhizophydiales" "f__Rhizophydiales_fam_Incertae_sedis" "g__Operculomyces" "s__laminatus"
"ASV2513" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Funneliformis" "s__mosseae"
"ASV2514" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" "g__Schizothecium" NA
"ASV2519" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Phaeosphaeria" "s__tofieldiae"
"ASV2526" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" "g__Articulospora" "s__proliferata"
"ASV2532" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" "g__Podospora" "s__multipilosa"
"ASV2533" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Rhytismatales" "f__Rhytismatales_fam_Incertae_sedis" "g__Karstenia" "s__macer"
"ASV2534" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Trechisporales" "f__Hydnodontaceae" "g__Trechispora" NA
"ASV2539" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreales_fam_Incertae_sedis" "g__Sarocladium" NA
"ASV2542" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Lentitheciaceae" "g__Keissleriella" "s__taminensis"
"ASV2543" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Stachybotryaceae" "g__Paramyrothecium" NA
"ASV2545" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Lophiostomataceae" "g__Sigarispora" "s__arundinis"
"ASV2548" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" "g__Epicoccum" NA
"ASV2549" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Cephalothecaceae" "g__Phialemonium" "s__inflatum"
"ASV2551" "k__Fungi" "p__Basidiomycota" "c__Ustilaginomycetes" "o__Ustilaginales" "f__Ustilaginaceae" NA NA
"ASV2555" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Lasiosphaeriaceae" "g__Apiosordaria" "s__stercoraria"
"ASV2558" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreaceae" NA NA
"ASV2559" "k__Fungi" "p__Glomeromycota" "c__Archaeosporomycetes" "o__Archaeosporales" "f__Archaeosporaceae" NA NA
"ASV2564" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Sporormiaceae" "g__Preussia" NA
"ASV2565" "k__Fungi" "p__Ascomycota" "c__Orbiliomycetes" NA NA NA NA
"ASV2566" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Eurotiales" "f__Trichocomaceae" "g__Talaromyces" "s__sayulitensis"
"ASV2567" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Tremellodendropsidales" NA NA NA
"ASV2568" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__indicum"
"ASV2571" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Septoglomus" "s__viscosum"
"ASV2575" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Marasmiaceae" "g__Marasmius" NA
"ASV2581" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Clavicipitaceae" "g__Metarhizium" "s__anisopliae"
"ASV2583" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__compressum"
"ASV2584" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV2585" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Auriculariales" "f__Hyaloriaceae" "g__Myxarium" NA
"ASV2586" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Leptosphaeriaceae" "g__Plenodomus" "s__biglobosus"
"ASV2588" "k__Fungi" "p__Chytridiomycota" "c__Lobulomycetes" NA NA NA NA
"ASV2591" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Rhynchogastremataceae" "g__Papiliotrema" NA
"ASV2593" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" "g__Articulospora" NA
"ASV2594" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV2602" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" NA NA NA
"ASV2603" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Lycoperdaceae" "g__Lycoperdon" "s__pratense"
"ASV2604" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV2605" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Diversisporales" "f__Diversisporaceae" NA NA
"ASV2610" "k__Fungi" "p__Mucoromycota" "c__Mucoromycetes" "o__Mucorales" "f__Cunninghamellaceae" "g__Gongronella" "s__butleri"
