OTU_ID	taxonomy
ASV_516	;Glomus;indicum
ASV_517	;Neoascochyta;desmazieri
ASV_518	;Fusarium;oxysporum
ASV_519	;NA;NA
ASV_523	;Paraphoma;radicina
ASV_526	;Allophylaria;subliciformis
ASV_527	;NA;NA
ASV_528	;NA;NA
ASV_529	;Rhizophagus;irregularis
ASV_530	;Glomus;indicum
ASV_531	;Allophaeosphaeria;cytisi
ASV_532	;Fusarium;concentricum
ASV_534	;Trichopezizella;NA
ASV_535	;Cadophora;NA
ASV_536	;Ascobolus;NA
ASV_537	;Trichoderma;NA
ASV_539	;Gigaspora;rosea
ASV_540	;Mucor;circinelloides
ASV_541	;Glomus;indicum
ASV_542	;NA;NA
ASV_545	;Rhizophagus;irregularis
ASV_546	;Veronaea;japonica
ASV_547	;Papiliotrema;NA
ASV_548	;Funneliformis;mosseae
ASV_549	;NA;NA
ASV_550	;NA;NA
ASV_551	;Cistella;NA
ASV_553	;NA;NA
ASV_554	;Schizothecium;NA
ASV_556	;Gaeumannomyces;radicicola
ASV_557	;NA;NA
ASV_559	;Cylindrocarpon;NA
ASV_560	;Marasmius;NA
ASV_562	;Articulospora;proliferata
ASV_563	;NA;NA
ASV_565	;Septoglomus;NA
ASV_566	;NA;NA
ASV_567	;Auricularia;NA
ASV_568	;Lectera;longa
ASV_569	;Torula;hollandica
ASV_570	;NA;NA
ASV_572	;Septoglomus;viscosum
ASV_573	;Pyxidiophora;arvernensis
ASV_574	;Fusarium;concentricum
ASV_575	;NA;NA
ASV_576	;Lecanicillium;lecanii
ASV_577	;Fusarium;armeniacum
ASV_578	;Glomus;NA
ASV_581	;NA;NA
ASV_582	;NA;NA
ASV_583	;NA;NA
ASV_584	;NA;NA
ASV_585	;Gongronella;butleri
ASV_586	;Schizothecium;curvuloides
ASV_587	;Pseudopithomyces;rosae
ASV_588	;NA;NA
ASV_589	;Paraphaeosphaeria;NA
ASV_591	;NA;NA
ASV_592	;Alternaria;metachromatica
ASV_593	;Funneliformis;mosseae
ASV_594	;Cunninghamella;elegans
ASV_595	;NA;NA
ASV_597	;Zopfiella;NA
ASV_598	;Mortierella;NA
ASV_599	;Sistotrema;NA
ASV_600	;Sarocladium;zeae
ASV_601	;NA;NA
ASV_602	;Glomus;NA
ASV_603	;Diaporthe;NA
ASV_604	;NA;NA
ASV_605	;Striatibotrys;eucylindrospora
ASV_607	;Trichoderma;brevicompactum
ASV_608	;NA;NA
ASV_609	;Rhizophagus;irregularis
ASV_610	;Paraphoma;chrysanthemicola
ASV_612	;Phaeocytostroma;ambiguum
ASV_614	;Funneliformis;mosseae
ASV_615	;NA;NA
ASV_616	;NA;NA
ASV_617	;Biappendiculispora;NA
ASV_618	;NA;NA
ASV_619	;NA;NA
