"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_15053","Bacteria","Chloroflexi","JG30-KF-CM66",NA,NA,NA
"ASV_15054","Bacteria","Cyanobacteria","Melainabacteria","Obscuribacterales",NA,NA
"ASV_15055","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1"
"ASV_15070","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales",NA,NA
"ASV_15071","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA
"ASV_15072","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ASV_15073","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae",NA
"ASV_15101","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Litorilinea"
"ASV_15102","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14",NA
"ASV_15103","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"ASV_15104","Bacteria","Chloroflexi","Ktedonobacteria","C0119",NA,NA
"ASV_15105","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","mle1-27",NA
"ASV_15106","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae",NA
"ASV_15107","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula"
"ASV_15108","Bacteria","Planctomycetes","Pla3_lineage",NA,NA,NA
"ASV_15109","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","CPla-3_termite_group",NA
"ASV_15110","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA
"ASV_15111","Bacteria","Latescibacteria",NA,NA,NA,NA
"ASV_15112","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae",NA
"ASV_15113","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Sorangium"
"ASV_15114","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101_soil_group",NA
"ASV_15115","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella"
"ASV_15116","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Zavarzinella"
"ASV_15117","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_15118","Bacteria","Chloroflexi","Ktedonobacteria","C0119",NA,NA
"ASV_15119","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola"
"ASV_15120","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae",NA
"ASV_15121","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Azospirillum"
"ASV_15122","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Siphonobacter"
"ASV_15124","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"ASV_15125","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ASV_15126","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_13"
"ASV_15127","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Chryseolinea"
"ASV_15128","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ASV_15141","Bacteria",NA,NA,NA,NA,NA
"ASV_15142","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ASV_15167","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Shimazuella"
"ASV_15172","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales",NA,NA
"ASV_15173","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"ASV_15188","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae",NA
"ASV_15191","Bacteria","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10"
"ASV_15193","Bacteria","Acidobacteria","Subgroup_5",NA,NA,NA
"ASV_15194","Bacteria",NA,NA,NA,NA,NA
"ASV_15195","Bacteria","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10"
"ASV_15196","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ASV_15197","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae",NA
"ASV_15198","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ASV_15199","Bacteria",NA,NA,NA,NA,NA
"ASV_15200","Bacteria",NA,NA,NA,NA,NA
"ASV_15201","Bacteria",NA,NA,NA,NA,NA
"ASV_15202","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ASV_15203","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Parviterribacter"
"ASV_15204","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Angustibacter"
"ASV_15205","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"ASV_15206","Bacteria","Acidobacteria","Holophagae","Subgroup_7",NA,NA
"ASV_15207","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Simkaniaceae",NA
"ASV_15208","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula"
"ASV_15209","Bacteria",NA,NA,NA,NA,NA
"ASV_15210","Bacteria",NA,NA,NA,NA,NA
"ASV_15211","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ASV_15212","Bacteria","Acidobacteria","Subgroup_5",NA,NA,NA
"ASV_15213","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfarculales","Desulfarculaceae",NA
"ASV_15214","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA
"ASV_15218","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Candidatus_Berkiella"
"ASV_15223","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio"
"ASV_15229","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA
"ASV_15251","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29_marine_group"
"ASV_15252","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae",NA
"ASV_15262","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae",NA
"ASV_15263","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Pajaroellobacter"
"ASV_15264","Bacteria",NA,NA,NA,NA,NA
"ASV_15265","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella"
"ASV_15266","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae",NA
"ASV_15267","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfarculales","Desulfarculaceae",NA
"ASV_15279","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","KD3-10",NA
"ASV_15292","Bacteria","Planctomycetes","Pla4_lineage",NA,NA,NA
"ASV_15301","Bacteria","Planctomycetes","OM190",NA,NA,NA
"ASV_15392","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101_soil_group",NA
