"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_159","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium","glutinans"
"ASV_161","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium",NA
"ASV_162","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellales_fam_Incertae_sedis","Sistotrema",NA
"ASV_163","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Cistella",NA
"ASV_164","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Septoglomus","viscosum"
"ASV_165","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Septoglomus","viscosum"
"ASV_166","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pseudorobillarda","phragmitis"
"ASV_168","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella",NA
"ASV_169","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","intricans"
"ASV_170","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiales_fam_Incertae_sedis","Operculomyces","laminatus"
"ASV_171","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora","decidua"
"ASV_172","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Septoglomus","viscosum"
"ASV_173","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales",NA,NA,NA
"ASV_174","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","irregularis"
"ASV_175","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus",NA
"ASV_176","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae",NA,NA
"ASV_178","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Myrothecium",NA
"ASV_179","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",NA,NA,NA
"ASV_180","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Torulaceae","Dendryphion","europaeum"
"ASV_181","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae",NA,NA
"ASV_182","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriaceae",NA,NA
"ASV_183","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe",NA
"ASV_185","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae",NA,NA
"ASV_186","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys",NA
"ASV_188","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","hyalina"
"ASV_189","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae",NA,NA
"ASV_190","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV_191","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleomassariaceae",NA,NA
"ASV_192","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cylindrocarpon",NA
"ASV_193","Fungi","Ascomycota","Sordariomycetes","Branch06",NA,NA,NA
"ASV_194","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV_195","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae",NA,NA
"ASV_197","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","sarnyensis"
