"Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"ASV69" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV70" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces"
"ASV71" "Archaea" "Thaumarchaeota" "Nitrososphaeria" "Nitrososphaerales" "Nitrososphaeraceae" NA
"ASV73" "Archaea" "Thaumarchaeota" "Nitrososphaeria" "Nitrososphaerales" "Nitrososphaeraceae" NA
"ASV74" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV77" "Archaea" "Thaumarchaeota" "Nitrososphaeria" "Nitrososphaerales" "Nitrososphaeraceae" NA
"ASV78" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV79" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Pseudarthrobacter"
"ASV80" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" NA
"ASV81" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"ASV82" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV83" "Archaea" "Thaumarchaeota" "Nitrososphaeria" "Nitrososphaerales" "Nitrososphaeraceae" NA
"ASV84" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "67-14" NA
"ASV85" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" NA
"ASV86" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces"
"ASV87" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV88" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV89" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Nocardioides"
"ASV90" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Pseudoduganella"
"ASV91" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV92" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV93" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV94" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"ASV95" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces"
"ASV96" "Archaea" "Thaumarchaeota" "Nitrososphaeria" "Nitrososphaerales" "Nitrososphaeraceae" NA
"ASV97" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces"
"ASV98" "Archaea" "Thaumarchaeota" "Nitrososphaeria" "Nitrososphaerales" "Nitrososphaeraceae" NA
"ASV99" "Archaea" "Thaumarchaeota" "Nitrososphaeria" "Nitrososphaerales" "Nitrososphaeraceae" NA
"ASV100" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Variovorax"
"ASV101" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"ASV102" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV103" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"ASV104" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces"
"ASV105" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV106" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Phenylobacterium"
"ASV107" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV108" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"ASV109" "Bacteria" "Actinobacteria" "MB-A2-108" NA NA NA
"ASV110" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"ASV111" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Marmoricola"
"ASV112" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV113" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV114" "Archaea" "Thaumarchaeota" "Nitrososphaeria" "Nitrososphaerales" "Nitrososphaeraceae" NA
"ASV115" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Propionibacteriaceae" "Microlunatus"
"ASV116" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV117" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV118" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces"
"ASV119" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"ASV120" "Archaea" "Thaumarchaeota" "Nitrososphaeria" "Nitrososphaerales" "Nitrososphaeraceae" NA
"ASV121" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV122" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Intrasporangiaceae" "Lapillicoccus"
"ASV123" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Allostreptomyces"
"ASV124" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA
"ASV125" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"ASV126" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" NA
"ASV127" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces"
"ASV128" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" NA
"ASV129" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"ASV130" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"ASV131" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"ASV132" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV133" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"ASV134" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Intrasporangiaceae" "Intrasporangium"
"ASV135" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"ASV136" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" "Conexibacter"
"ASV137" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Mesorhizobium"
"ASV138" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "67-14" NA
"ASV139" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Pseudarthrobacter"
"ASV140" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Caulobacter"
"ASV141" "Bacteria" "Nitrospirae" "Nitrospira" "Nitrospirales" "Nitrospiraceae" "Nitrospira"
"ASV142" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas"
"ASV143" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV144" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV145" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methyloligellaceae" NA
"ASV146" "Archaea" "Thaumarchaeota" "Nitrososphaeria" "Nitrososphaerales" "Nitrososphaeraceae" NA
"ASV147" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"ASV148" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV149" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Cellulomonadaceae" "Cellulomonas"
"ASV151" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Piscinibacter"
"ASV152" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Pseudolabrys"
"ASV153" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Duganella"
"ASV154" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" "Solirubrobacter"
"ASV155" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV156" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"ASV157" "Archaea" "Thaumarchaeota" "Nitrososphaeria" "Nitrososphaerales" "Nitrososphaeraceae" NA
"ASV158" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" NA
"ASV159" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV160" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" NA
"ASV161" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"ASV162" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces"
"ASV163" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" NA NA
"ASV164" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Pseudarthrobacter"
"ASV165" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"ASV166" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"ASV167" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Intrasporangiaceae" NA
"ASV168" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"ASV169" "Bacteria" "Bacteroidetes" "Bacteroidia" "Sphingobacteriales" "Sphingobacteriaceae" "Mucilaginibacter"
"ASV170" "Bacteria" "Chloroflexi" "Chloroflexia" "Thermomicrobiales" "JG30-KF-CM45" NA
"ASV171" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Steroidobacterales" "Steroidobacteraceae" "Steroidobacter"
"ASV172" "Archaea" "Thaumarchaeota" "Nitrososphaeria" "Nitrososphaerales" "Nitrososphaeraceae" NA
"ASV173" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" NA
"ASV174" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces"
"ASV175" "Archaea" "Thaumarchaeota" "Nitrososphaeria" "Nitrososphaerales" "Nitrososphaeraceae" NA
"ASV177" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"ASV179" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV180" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV181" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "67-14" NA
"ASV182" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"ASV183" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV184" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Pseudoduganella"
"ASV185" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV186" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV188" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"ASV189" "Bacteria" "Acidobacteria" "Blastocatellia_(Subgroup_4)" "Pyrinomonadales" "Pyrinomonadaceae" "RB41"
"ASV190" "Bacteria" "Patescibacteria" "Saccharimonadia" "Saccharimonadales" NA NA
"ASV191" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"ASV192" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "bacteriap25" NA
"ASV193" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Arenimonas"
"ASV194" "Bacteria" "Bacteroidetes" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" "Niastella"
"ASV195" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Phenylobacterium"
"ASV196" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV197" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"ASV198" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" NA NA
"ASV199" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Kitasatospora"
"ASV200" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" NA
"ASV201" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas"
"ASV202" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Pseudarthrobacter"
"ASV204" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Burkholderia-Caballeronia-Paraburkholderia"
"ASV205" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV206" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"ASV207" "Bacteria" "Bacteroidetes" "Bacteroidia" "Sphingobacteriales" "Sphingobacteriaceae" "Pedobacter"
"ASV208" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV209" "Bacteria" "Acidobacteria" "Blastocatellia_(Subgroup_4)" "Pyrinomonadales" "Pyrinomonadaceae" "RB41"
"ASV211" "Bacteria" "Acidobacteria" "Subgroup_6" "Unknown_Order" "Unknown_Family" "Vicinamibacter"
"ASV212" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Pseudoduganella"
"ASV213" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "67-14" NA
"ASV214" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" NA
"ASV215" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV216" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"ASV217" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "67-14" NA
"ASV218" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"ASV219" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Allostreptomyces"
"ASV220" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV221" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" "Gemmatirosa"
"ASV222" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Kribbella"
"ASV223" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV224" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"ASV225" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"ASV226" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Burkholderia-Caballeronia-Paraburkholderia"
"ASV227" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces"
"ASV228" "Bacteria" "Patescibacteria" "Saccharimonadia" "Saccharimonadales" NA NA
"ASV229" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV230" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Phenylobacterium"
"ASV231" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV232" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"ASV233" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV234" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" "Solirubrobacter"
"ASV235" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"ASV236" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Variovorax"
"ASV237" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV238" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Variovorax"
"ASV240" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces"
"ASV241" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"ASV242" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV243" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Marmoricola"
"ASV244" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"ASV245" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"ASV246" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"ASV247" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Pseudoduganella"
"ASV248" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" NA
"ASV249" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Allostreptomyces"
"ASV250" "Bacteria" "Chloroflexi" "Gitt-GS-136" NA NA NA
"ASV251" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV253" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Microbacteriaceae" "Microbacterium"
"ASV254" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"ASV255" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV256" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Methylophilaceae" "Methylotenera"
"ASV257" "Bacteria" "Actinobacteria" "Actinobacteria" NA NA NA
"ASV258" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces"
"ASV259" "Bacteria" "Bacteroidetes" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" NA
"ASV260" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV262" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"ASV263" "Bacteria" "Acidobacteria" "Blastocatellia_(Subgroup_4)" "Blastocatellales" "Blastocatellaceae" NA
"ASV264" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV265" "Archaea" "Thaumarchaeota" "Nitrososphaeria" "Nitrososphaerales" "Nitrososphaeraceae" NA
"ASV266" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"ASV267" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Phenylobacterium"
"ASV268" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"ASV269" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Chthoniobacter"
"ASV270" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV271" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV272" "Bacteria" "Actinobacteria" "MB-A2-108" NA NA NA
"ASV273" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "67-14" NA
"ASV274" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"ASV276" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV277" "Bacteria" "Chloroflexi" "Chloroflexia" "Thermomicrobiales" "JG30-KF-CM45" NA
"ASV278" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Nocardioides"
"ASV279" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Pseudarthrobacter"
"ASV280" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Duganella"
"ASV281" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Microtrichales" "Ilumatobacteraceae" "Ilumatobacter"
"ASV282" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV283" "Archaea" "Thaumarchaeota" "Nitrososphaeria" "Nitrososphaerales" "Nitrososphaeraceae" NA
"ASV284" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Burkholderia-Caballeronia-Paraburkholderia"
"ASV285" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"ASV286" "Bacteria" "Actinobacteria" "MB-A2-108" NA NA NA
"ASV287" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV288" "Bacteria" "Planctomycetes" "Phycisphaerae" "Tepidisphaerales" "WD2101_soil_group" NA
